# GLAD-AZI - global azimuthal anisotropy model
# lon lat amplitude azimuth
53.0 90.0 0.002623 6.909982
54.0 90.0 0.002623 6.909982
55.0 90.0 0.002623 6.909982
56.0 90.0 0.002623 6.909982
57.0 90.0 0.002623 6.909982
58.0 90.0 0.002623 6.909982
59.0 90.0 0.002623 6.909982
60.0 90.0 0.002623 6.909982
61.0 90.0 0.002623 6.909982
62.0 90.0 0.002623 6.909982
63.0 90.0 0.002623 6.909982
64.0 90.0 0.002623 6.909982
65.0 90.0 0.002623 6.909982
66.0 90.0 0.002623 6.909982
67.0 90.0 0.002623 6.909982
68.0 90.0 0.002623 6.909982
69.0 90.0 0.002623 6.909982
70.0 90.0 0.002623 6.909982
71.0 90.0 0.002623 6.909982
72.0 90.0 0.002623 6.909982
73.0 90.0 0.002623 6.909982
74.0 90.0 0.002623 6.909982
75.0 90.0 0.002623 6.909982
76.0 90.0 0.002623 6.909982
77.0 90.0 0.002623 6.909982
78.0 90.0 0.002623 6.909982
79.0 90.0 0.002623 6.909982
80.0 90.0 0.002623 6.909982
81.0 90.0 0.002623 6.909982
82.0 90.0 0.002623 6.909982
83.0 90.0 0.002623 6.909982
84.0 90.0 0.002623 6.909982
85.0 90.0 0.002623 6.909982
86.0 90.0 0.002623 6.909982
87.0 90.0 0.002623 6.909982
88.0 90.0 0.002623 6.909982
89.0 90.0 0.002623 6.909982
90.0 90.0 0.002623 6.909982
91.0 90.0 0.002623 6.909982
92.0 90.0 0.002623 6.909982
93.0 90.0 0.002623 6.909982
94.0 90.0 0.002623 6.909982
95.0 90.0 0.002623 6.909982
96.0 90.0 0.002623 6.909982
97.0 90.0 0.002623 6.909982
98.0 90.0 0.002623 6.909982
99.0 90.0 0.002623 6.909982
100.0 90.0 0.002623 6.909982
101.0 90.0 0.002623 6.909982
102.0 90.0 0.002623 6.909982
103.0 90.0 0.002623 6.909982
104.0 90.0 0.002623 6.909982
105.0 90.0 0.002623 6.909982
106.0 90.0 0.002623 6.909982
107.0 90.0 0.002623 6.909982
108.0 90.0 0.002623 6.909982
109.0 90.0 0.002623 6.909982
110.0 90.0 0.002623 6.909982
111.0 90.0 0.002623 6.909982
112.0 90.0 0.002623 6.909982
113.0 90.0 0.002623 6.909982
114.0 90.0 0.002623 6.909982
115.0 90.0 0.002623 6.909982
116.0 90.0 0.002623 6.909982
117.0 90.0 0.002623 6.909982
118.0 90.0 0.002623 6.909982
119.0 90.0 0.002623 6.909982
120.0 90.0 0.002623 6.909982
121.0 90.0 0.002623 6.909982
122.0 90.0 0.002623 6.909982
123.0 90.0 0.002623 6.909982
124.0 90.0 0.002623 6.909982
125.0 90.0 0.002623 6.909982
126.0 90.0 0.002623 6.909982
127.0 90.0 0.002623 6.909982
128.0 90.0 0.002623 6.909982
129.0 90.0 0.002623 6.909982
130.0 90.0 0.002623 6.909982
131.0 90.0 0.002623 6.909982
132.0 90.0 0.002623 6.909982
133.0 90.0 0.002623 6.909982
134.0 90.0 0.002623 6.909982
135.0 90.0 0.002623 6.909982
136.0 90.0 0.002623 6.909982
137.0 90.0 0.002623 6.909982
138.0 90.0 0.002623 6.909982
139.0 90.0 0.002623 6.909982
140.0 90.0 0.002623 6.909982
141.0 90.0 0.002623 6.909982
142.0 90.0 0.002623 6.909982
143.0 90.0 0.002623 6.909982
144.0 90.0 0.002623 6.909982
145.0 90.0 0.002623 6.909982
146.0 90.0 0.002623 6.909982
147.0 90.0 0.002623 6.909982
148.0 90.0 0.002623 6.909982
149.0 90.0 0.002623 6.909982
150.0 90.0 0.002623 6.909982
151.0 90.0 0.002623 6.909982
152.0 90.0 0.002623 6.909982
153.0 90.0 0.002623 6.909982
154.0 90.0 0.002623 6.909982
155.0 90.0 0.002623 6.909982
156.0 90.0 0.002623 6.909982
157.0 90.0 0.002623 6.909982
158.0 90.0 0.002623 6.909982
159.0 90.0 0.002623 6.909982
160.0 90.0 0.002623 6.909982
161.0 90.0 0.002623 6.909982
162.0 90.0 0.002623 6.909982
163.0 90.0 0.002623 6.909982
164.0 90.0 0.002623 6.909982
165.0 90.0 0.002623 6.909982
166.0 90.0 0.002623 6.909982
167.0 90.0 0.002623 6.909982
168.0 90.0 0.002623 6.909982
169.0 90.0 0.002623 6.909982
170.0 90.0 0.002623 6.909982
171.0 90.0 0.002623 6.909982
172.0 90.0 0.002623 6.909982
173.0 90.0 0.002623 6.909982
174.0 90.0 0.002623 6.909982
175.0 90.0 0.002623 6.909982
176.0 90.0 0.002623 6.909982
177.0 90.0 0.002623 6.909982
178.0 90.0 0.002623 6.909982
179.0 90.0 0.002623 6.909982
-180.0 89.0 0.003020 4.388169
-179.0 89.0 0.003097 3.931805
-178.0 89.0 0.003176 3.496764
-177.0 89.0 0.003255 3.082304
-176.0 89.0 0.003336 2.688550
-175.0 89.0 0.003416 2.315394
-174.0 89.0 0.003497 1.961019
-173.0 89.0 0.003578 1.623943
-172.0 89.0 0.003660 1.302551
-171.0 89.0 0.003741 0.994462
-170.0 89.0 0.003823 0.696577
-169.0 89.0 0.003905 0.410445
-168.0 89.0 0.003987 0.138208
-167.0 89.0 0.004069 -0.121606
-166.0 89.0 0.004151 -0.370100
-165.0 89.0 0.004232 -0.607376
-164.0 89.0 0.004313 -0.833438
-163.0 89.0 0.004393 -1.048619
-162.0 89.0 0.004473 -1.254742
-161.0 89.0 0.004552 -1.452273
-160.0 89.0 0.004630 -1.641197
-159.0 89.0 0.004708 -1.821354
-158.0 89.0 0.004784 -1.993698
-157.0 89.0 0.004860 -2.158820
-156.0 89.0 0.004935 -2.316875
-155.0 89.0 0.005009 -2.467966
-154.0 89.0 0.005082 -2.612457
-153.0 89.0 0.005153 -2.750476
-152.0 89.0 0.005224 -2.882391
-151.0 89.0 0.005292 -3.008760
-150.0 89.0 0.005359 -3.130085
-149.0 89.0 0.005424 -3.246383
-148.0 89.0 0.005489 -3.357059
-147.0 89.0 0.005552 -3.462043
-146.0 89.0 0.005615 -3.562511
-145.0 89.0 0.005675 -3.658745
-144.0 89.0 0.005734 -3.750547
-143.0 89.0 0.005791 -3.837357
-142.0 89.0 0.005847 -3.919123
-141.0 89.0 0.005902 -3.997253
-140.0 89.0 0.005954 -4.071976
-139.0 89.0 0.006005 -4.143039
-138.0 89.0 0.006054 -4.210603
-137.0 89.0 0.006101 -4.274718
-136.0 89.0 0.006146 -4.335234
-135.0 89.0 0.006190 -4.392375
-134.0 89.0 0.006231 -4.447524
-133.0 89.0 0.006271 -4.500570
-132.0 89.0 0.006308 -4.550169
-131.0 89.0 0.006344 -4.596219
-130.0 89.0 0.006378 -4.639094
-129.0 89.0 0.006410 -4.681039
-128.0 89.0 0.006441 -4.716837
-127.0 89.0 0.006470 -4.748961
-126.0 89.0 0.006497 -4.781595
-125.0 89.0 0.006522 -4.809716
-124.0 89.0 0.006545 -4.834014
-123.0 89.0 0.006567 -4.857748
-122.0 89.0 0.006586 -4.879708
-121.0 89.0 0.006604 -4.897053
-120.0 89.0 0.006620 -4.911076
-119.0 89.0 0.006634 -4.922085
-118.0 89.0 0.006646 -4.931368
-117.0 89.0 0.006657 -4.938710
-116.0 89.0 0.006665 -4.946668
-115.0 89.0 0.006671 -4.952884
-114.0 89.0 0.006676 -4.956053
-113.0 89.0 0.006678 -4.959335
-112.0 89.0 0.006679 -4.959755
-111.0 89.0 0.006679 -4.957207
-110.0 89.0 0.006676 -4.953019
-109.0 89.0 0.006672 -4.946335
-108.0 89.0 0.006666 -4.939462
-107.0 89.0 0.006659 -4.930846
-106.0 89.0 0.006650 -4.917399
-105.0 89.0 0.006639 -4.899955
-104.0 89.0 0.006627 -4.880933
-103.0 89.0 0.006613 -4.860561
-102.0 89.0 0.006598 -4.839334
-101.0 89.0 0.006581 -4.817635
-100.0 89.0 0.006562 -4.792816
-99.0 89.0 0.006542 -4.766133
-98.0 89.0 0.006520 -4.738764
-97.0 89.0 0.006497 -4.707072
-96.0 89.0 0.006473 -4.673695
-95.0 89.0 0.006447 -4.637247
-94.0 89.0 0.006420 -4.598151
-93.0 89.0 0.006391 -4.558420
-92.0 89.0 0.006361 -4.518638
-91.0 89.0 0.006329 -4.477030
-90.0 89.0 0.006296 -4.431955
-89.0 89.0 0.006098 -4.112945
-88.0 89.0 0.006064 -4.052659
-87.0 89.0 0.006028 -3.990575
-86.0 89.0 0.005991 -3.924640
-85.0 89.0 0.005953 -3.856498
-84.0 89.0 0.005913 -3.787471
-83.0 89.0 0.005873 -3.715695
-82.0 89.0 0.005831 -3.641044
-81.0 89.0 0.005788 -3.564994
-80.0 89.0 0.005745 -3.487695
-79.0 89.0 0.005700 -3.408448
-78.0 89.0 0.005655 -3.326659
-77.0 89.0 0.005608 -3.241824
-76.0 89.0 0.005560 -3.152971
-75.0 89.0 0.005512 -3.059715
-74.0 89.0 0.005462 -2.962725
-73.0 89.0 0.005411 -2.863748
-72.0 89.0 0.005360 -2.762042
-71.0 89.0 0.005308 -2.657790
-70.0 89.0 0.005255 -2.551165
-69.0 89.0 0.005202 -2.441418
-68.0 89.0 0.005149 -2.329436
-67.0 89.0 0.005095 -2.214638
-66.0 89.0 0.005040 -2.096203
-65.0 89.0 0.004985 -1.973976
-64.0 89.0 0.004929 -1.847283
-63.0 89.0 0.004873 -1.716209
-62.0 89.0 0.004816 -1.581304
-61.0 89.0 0.004758 -1.443064
-60.0 89.0 0.004701 -1.301774
-59.0 89.0 0.004644 -1.156959
-58.0 89.0 0.004586 -1.007911
-57.0 89.0 0.004529 -0.854480
-56.0 89.0 0.004471 -0.696613
-55.0 89.0 0.004413 -0.534716
-54.0 89.0 0.004357 -0.369385
-53.0 89.0 0.004299 -0.197677
-52.0 89.0 0.004240 -0.020663
-51.0 89.0 0.004182 0.160539
-50.0 89.0 0.004124 0.346680
-49.0 89.0 0.004065 0.537802
-48.0 89.0 0.004007 0.733860
-47.0 89.0 0.003949 0.934921
-46.0 89.0 0.003892 1.141202
-45.0 89.0 0.003836 1.352968
-44.0 89.0 0.003782 1.570590
-43.0 89.0 0.003728 1.794327
-42.0 89.0 0.003676 2.024293
-41.0 89.0 0.003623 2.260502
-40.0 89.0 0.003571 2.502863
-39.0 89.0 0.003520 2.751416
-38.0 89.0 0.003469 3.006234
-37.0 89.0 0.003419 3.267504
-36.0 89.0 0.003369 3.535155
-35.0 89.0 0.003320 3.809127
-34.0 89.0 0.003272 4.089475
-33.0 89.0 0.003225 4.376184
-32.0 89.0 0.003178 4.669289
-31.0 89.0 0.003132 4.968763
-30.0 89.0 0.003087 5.274547
-29.0 89.0 0.003043 5.586655
-28.0 89.0 0.003000 5.904978
-27.0 89.0 0.002958 6.229297
-26.0 89.0 0.002918 6.559573
-25.0 89.0 0.002878 6.895537
-24.0 89.0 0.002839 7.237040
-23.0 89.0 0.002801 7.583856
-22.0 89.0 0.002764 7.935837
-21.0 89.0 0.002728 8.292637
-20.0 89.0 0.002694 8.653910
-19.0 89.0 0.002660 9.019185
-18.0 89.0 0.002628 9.388199
-17.0 89.0 0.002597 9.760447
-16.0 89.0 0.002567 10.135470
-15.0 89.0 0.002538 10.512842
-14.0 89.0 0.002511 10.891959
-13.0 89.0 0.002484 11.272296
-12.0 89.0 0.002459 11.653372
-11.0 89.0 0.002435 12.034451
-10.0 89.0 0.002412 12.414998
-9.0 89.0 0.002391 12.794435
-8.0 89.0 0.002371 13.172019
-7.0 89.0 0.002352 13.547023
-6.0 89.0 0.002334 13.919036
-5.0 89.0 0.002318 14.287531
-4.0 89.0 0.002303 14.651931
-3.0 89.0 0.002290 15.011239
-2.0 89.0 0.002278 15.364466
-1.0 89.0 0.002268 15.711116
0.0 89.0 0.002258 16.050445
1.0 89.0 0.002170 16.480461
2.0 89.0 0.002163 16.831548
3.0 89.0 0.002157 17.173399
4.0 89.0 0.002152 17.505065
5.0 89.0 0.002147 17.825848
6.0 89.0 0.002143 18.135986
7.0 89.0 0.002141 18.435498
8.0 89.0 0.002141 18.723944
9.0 89.0 0.002142 19.000774
10.0 89.0 0.002145 19.265389
11.0 89.0 0.002149 19.517509
12.0 89.0 0.002154 19.757079
13.0 89.0 0.002160 19.984034
14.0 89.0 0.002167 20.198399
15.0 89.0 0.002175 20.400233
16.0 89.0 0.002184 20.589675
17.0 89.0 0.002195 20.766883
18.0 89.0 0.002206 20.932107
19.0 89.0 0.002218 21.085598
20.0 89.0 0.002232 21.227697
